Year,Address,Species,Tree or Shrub,Quantity,Date,Latitude,Longitude,Neighbourhood Name,Neighbourhood Number,Geometry Point
2021,Lymburn 2021,Low Bilberry - Vaccinium myrtillus,Shrub,24,2021-08-03,53.511528,-113.63659,LYMBURN,4270,POINT (-113.63659 53.511528)
2014,Government House Park 2014,Low Bilberry - Vaccinium myrtillus,Shrub,55,2014-07-19,53.540367,-113.54321,RIVER VALLEY GLENORA,3381,POINT (-113.54321 53.540367)
2017,Hermitage Park 2017,White Spruce - Picea glauca,Tree,40,2017-06-24,53.57681,-113.373215,RIVER VALLEY HERMITAGE,2630,POINT (-113.373215 53.57681)
2018,Callingwood Park 2017,Pin Cherry - Prunus pennsylvanica,Shrub,15,2018-06-25,53.505497,-113.621666,CALLINGWOOD NORTH,4070,POINT (-113.621666 53.505497)
2019,Lymburn 2018,Western Larch - Larix occidentalis,Tree,30,2019-10-02,53.511295,-113.63944,LYMBURN,4270,POINT (-113.63944 53.511295)
2015,Twin Brooks 2015,Western Chokecherry - Prunus virg. melanocarpa,Shrub,20,2015-05-29,53.442997,-113.54049,TWIN BROOKS,5511,POINT (-113.54049 53.442997)
2021,Jackie Parker Park 2021,Western Larch - Larix occidentalis,Tree,15,2021-09-04,53.483486,-113.41887,MILL WOODS GOLF COURSE,6500,POINT (-113.41887 53.483486)
2022,Forest Heights,Beaked Hazelnut - Corylus cornuta,Shrub,10,2022-09-22,53.547657,-113.441635,RIVER VALLEY GOLD BAR,6620,POINT (-113.441635 53.547657)
2022,Blackburn,Wolfwillow - Elaeagnus commutata,Shrub,30,2022-06-04,53.428856,-113.50194,BLACKBURNE,5590,POINT (-113.50194 53.428856)
2021,Blackmud Creek 2017,Sandbar Willow - Salix exigua,Shrub,12,2021-08-11,53.415615,-113.51594,BLACKMUD CREEK,5453,POINT (-113.51594 53.415615)
2013,Satoo 2013,White Spruce - Picea glauca,Tree,20,2013-05-08,53.443684,-113.4653,SATOO,6680,POINT (-113.4653 53.443684)
2021,Sifton Ravine 2021,Prickly Rose - Rosa acicularis,Shrub,24,2021-07-16,53.591694,-113.40929,RIVER VALLEY HERMITAGE,2630,POINT (-113.40929 53.591694)
2013,Hermitage Park 2013,Red Osier Dogwood - Cornus sericea,Shrub,43,2013-06-16,53.58152,-113.374084,RIVER VALLEY HERMITAGE,2630,POINT (-113.374084 53.58152)
2018,Hermitage Park 2017,Snowberry - Symphoricarpos albus,Shrub,22,2018-07-05,53.57681,-113.373215,RIVER VALLEY HERMITAGE,2630,POINT (-113.373215 53.57681)
2018,Hazeldean 2017,Trembling Aspen - Populus tremuloides,Tree,8,2018-06-06,53.50112,-113.467766,MILL CREEK RAVINE SOUTH,6492,POINT (-113.467766 53.50112)
2018,Westmount 2018,Prickly Rose - Rosa acicularis,Shrub,10,2018-07-24,53.557262,-113.53088,QUEEN MARY PARK,1180,POINT (-113.53088 53.557262)
2015,Hazeldean 2015,Twining honey suckle - Lonicera dioica,Shrub,50,2015-07-15,53.500607,-113.46875,MILL CREEK RAVINE SOUTH,6492,POINT (-113.46875 53.500607)
2018,Westmount 2018,Paper Birch - Betula Papyrifera,Tree,10,2018-10-19,53.557262,-113.53088,QUEEN MARY PARK,1180,POINT (-113.53088 53.557262)
2014,Dunvegan Tree Stand 2014,Snowberry - Symphoricarpos albus,Shrub,50,2014-09-05,53.586926,-113.55546,ATHLONE,3010,POINT (-113.55546 53.586926)
2021,Jackie Parker Park 2021,Green Alder - Alnus viridis,Shrub,0,2021-09-04,53.483486,-113.41887,MILL WOODS GOLF COURSE,6500,POINT (-113.41887 53.483486)
2018,Westmount 2018,Saskatoon Berry - Amelanchier alnifolia,Shrub,154,2018-09-19,53.557262,-113.53088,QUEEN MARY PARK,1180,POINT (-113.53088 53.557262)
2019,Westmount 2018,Green Alder - Alnus viridis,Shrub,15,2019-07-05,53.557262,-113.53088,QUEEN MARY PARK,1180,POINT (-113.53088 53.557262)
2017,Hazeldean 2017,Saskatoon Berry - Amelanchier alnifolia,Shrub,30,2017-09-16,53.50112,-113.467766,MILL CREEK RAVINE SOUTH,6492,POINT (-113.467766 53.50112)
2019,Oxford 2018,Native Larch - Larix laricina,Tree,50,2019-09-05,53.625305,-113.55263,OXFORD,3320,POINT (-113.55263 53.625305)
2017,Hermitage Park 2017,White Spruce - Picea glauca,Tree,16,2017-07-14,53.57681,-113.373215,RIVER VALLEY HERMITAGE,2630,POINT (-113.373215 53.57681)
2019,Pylypow Pond 2017,Balsam Poplar - Populus balsamifera,Tree,10,2019-09-13,53.497932,-113.399414,PYLYPOW INDUSTRIAL,6590,POINT (-113.399414 53.497932)
2014,Victoria Park 2014,Trembling Aspen - Populus tremuloides,Tree,8,2014-07-23,53.538548,-113.52249,RIVER VALLEY VICTORIA,1200,POINT (-113.52249 53.538548)
2021,Lymburn 2021,Snowberry - Symphoricarpos albus,Shrub,25,2021-10-07,53.511528,-113.63659,LYMBURN,4270,POINT (-113.63659 53.511528)
2022,Forest Heights,Pussy Willow - Salix discolor,Shrub,15,2022-07-16,53.547657,-113.441635,RIVER VALLEY GOLD BAR,6620,POINT (-113.441635 53.547657)
2015,Hazeldean 2015,Western Chokecherry - Prunus virg. melanocarpa,Shrub,23,2015-07-15,53.500607,-113.46875,MILL CREEK RAVINE SOUTH,6492,POINT (-113.46875 53.500607)
2019,Lymburn 2018,Saskatoon Berry - Amelanchier alnifolia,Shrub,71,2019-09-18,53.511295,-113.63944,LYMBURN,4270,POINT (-113.63944 53.511295)
2014,Louise McKinney Park 2014,Prickly Rose - Rosa acicularis,Shrub,30,2014-06-04,53.540707,-113.480095,RIVERDALE,1210,POINT (-113.480095 53.540707)
2022,Forest Heights,Wolfwillow - Elaeagnus commutata,Shrub,10,2022-09-09,53.547657,-113.441635,RIVER VALLEY GOLD BAR,6620,POINT (-113.441635 53.547657)
2022,Terrace Heights,Balsam Poplar - Populus balsamifera,Tree,30,2022-07-09,53.5424,-113.431404,RIVER VALLEY GOLD BAR,6620,POINT (-113.431404 53.5424)
2015,Gold Bar Park 2015,Prickly Rose - Rosa acicularis,Shrub,27,2015-06-13,53.555748,-113.40618,RIVER VALLEY GOLD BAR,6620,POINT (-113.40618 53.555748)
2022,Callaghan Park,Buffaloberry - Shepherdia canadensis,Shrub,48,2022-10-14,53.40567,-113.52814,CALLAGHAN,5457,POINT (-113.52814 53.40567)
2019,Alfred Savage,Saskatoon Berry - Amelanchier alnifolia,Shrub,15,2019-07-05,53.50105,-113.56058,RIVER VALLEY WHITEMUD,5400,POINT (-113.56058 53.50105)
2018,Hermitage Park 2017,Saskatoon Berry - Amelanchier alnifolia,Shrub,30,2018-06-05,53.57681,-113.373215,RIVER VALLEY HERMITAGE,2630,POINT (-113.373215 53.57681)
2015,Jackie Parker Park 2015,Wolfwillow - Elaeagnus commutata,Shrub,60,2015-07-09,53.486164,-113.42417,MILL WOODS GOLF COURSE,6500,POINT (-113.42417 53.486164)
2013,Louise McKinney Park 2013,Red Osier Dogwood - Cornus sericea,Shrub,20,2013-06-16,53.541447,-113.480385,RIVERDALE,1210,POINT (-113.480385 53.541447)
2017,Hermitage Park 2017,Trembling Aspen - Populus tremuloides,Tree,30,2017-08-19,53.57681,-113.373215,RIVER VALLEY HERMITAGE,2630,POINT (-113.373215 53.57681)
2014,Hermitage Park 2014,Trembling Aspen - Populus tremuloides,Tree,61,2014-09-19,53.57648,-113.37451,CANON RIDGE,2120,POINT (-113.37451 53.57648)
2019,Hazeldean 2017,Western Chokecherry - Prunus virg. melanocarpa,Shrub,30,2019-08-21,53.50112,-113.467766,MILL CREEK RAVINE SOUTH,6492,POINT (-113.467766 53.50112)
2018,Brookside 2018,White Spruce - Picea glauca,Tree,10,2018-07-28,53.483593,-113.56844,BROOKSIDE,5090,POINT (-113.56844 53.483593)
2019,Hermitage Park 2017,Wolfwillow - Elaeagnus commutata,Shrub,10,2019-09-21,53.57681,-113.373215,RIVER VALLEY HERMITAGE,2630,POINT (-113.373215 53.57681)
2018,Hamptons Lake 2018,Balsam Poplar - Populus balsamifera,Tree,20,2018-10-11,53.494762,-113.67519,THE HAMPTONS,4461,POINT (-113.67519 53.494762)
2018,Hermitage Park 2017,Jack Pine - Pinus banksiana,Tree,8,2018-09-29,53.57681,-113.373215,RIVER VALLEY HERMITAGE,2630,POINT (-113.373215 53.57681)
2022,Lymburn 2018,White Spruce - Picea glauca,Tree,48,2022-10-01,53.511295,-113.63944,LYMBURN,4270,POINT (-113.63944 53.511295)
2022,Callaghan Park,Beaked Hazelnut - Corylus cornuta,Shrub,15,2022-10-12,53.40567,-113.52814,CALLAGHAN,5457,POINT (-113.52814 53.40567)
2021,Sifton Ravine 2021,Jack Pine - Pinus banksiana,Tree,33,2021-08-13,53.591694,-113.40929,RIVER VALLEY HERMITAGE,2630,POINT (-113.40929 53.591694)
2017,Graunke Park 2017,White Spruce - Picea glauca,Tree,100,2017-07-04,53.464104,-113.419205,WEINLOS,6770,POINT (-113.419205 53.464104)
2018,Big Bear Park 2017,White Spruce - Picea glauca,Tree,48,2018-06-15,53.440865,-113.50943,BLACKMUD CREEK RAVINE,5050,POINT (-113.50943 53.440865)
2019,Oxford 2018,Highbush Cranberry - Viburnum trilobum,Shrub,25,2019-07-27,53.625305,-113.55263,OXFORD,3320,POINT (-113.55263 53.625305)
2021,Westmount 2018,Snowberry - Symphoricarpos albus,Shrub,29,2021-09-25,53.557262,-113.53088,QUEEN MARY PARK,1180,POINT (-113.53088 53.557262)
2015,Hamptons Lake 2015,Western Larch - Larix occidentalis,Tree,30,2015-08-07,53.49335,-113.67667,THE HAMPTONS,4461,POINT (-113.67667 53.49335)
2019,Cloverdale Hill 2018,Low Bilberry - Vaccinium myrtillus,Shrub,33,2019-08-24,53.53768,-113.46255,CLOVERDALE,6070,POINT (-113.46255 53.53768)
2021,Jackie Parker Park 2021,Prickly Rose - Rosa acicularis,Shrub,47,2021-08-19,53.483486,-113.41887,MILL WOODS GOLF COURSE,6500,POINT (-113.41887 53.483486)
2013,Guinevere Park 2013,Trembling Aspen - Populus tremuloides,Tree,20,2013-09-22,53.501507,-113.67098,GLASTONBURY,4720,POINT (-113.67098 53.501507)
2014,,Trembling Aspen - Populus tremuloides,Tree,45,2014-05-28,,,,,
2013,Guinevere Park 2013,Paper Birch - Betula Papyrifera,Tree,0,2013-09-22,53.501507,-113.67098,GLASTONBURY,4720,POINT (-113.67098 53.501507)
2017,Pylypow Pond 2017,Red Osier Dogwood - Cornus sericea,Shrub,12,2017-09-28,53.497932,-113.399414,PYLYPOW INDUSTRIAL,6590,POINT (-113.399414 53.497932)
2019,Rundle Park 2017,Jack Pine - Pinus banksiana,Tree,21,2019-07-26,53.55726,-113.381996,RIVER VALLEY RUNDLE,2650,POINT (-113.381996 53.55726)
2014,Victoria Park 2014,Trembling Aspen - Populus tremuloides,Tree,25,2014-08-08,53.538548,-113.52249,RIVER VALLEY VICTORIA,1200,POINT (-113.52249 53.538548)
2014,Sir Wilfrid Laurier Park 2014,Prickly Rose - Rosa acicularis,Shrub,38,2014-09-21,53.51,-113.55109,RIVER VALLEY LAURIER,3382,POINT (-113.55109 53.51)
2019,Lymburn 2018,Gooseberry - Ribes sp.,Shrub,24,2019-08-31,53.511295,-113.63944,LYMBURN,4270,POINT (-113.63944 53.511295)
2013,Hermitage Park 2013,Wolfwillow - Elaeagnus commutata,Shrub,50,2013-06-16,53.58152,-113.374084,RIVER VALLEY HERMITAGE,2630,POINT (-113.374084 53.58152)
2018,Hamptons Lake 2018,Pussy Willow - Salix discolor,Shrub,2,2018-07-21,53.494762,-113.67519,THE HAMPTONS,4461,POINT (-113.67519 53.494762)
2022,Lymburn 2018,Jack Pine - Pinus banksiana,Tree,24,2022-07-23,53.511295,-113.63944,LYMBURN,4270,POINT (-113.63944 53.511295)
2013,Twin Brooks 2013,Snowberry - Symphoricarpos albus,Shrub,1,2013-05-30,53.45002,-113.53669,TWIN BROOKS,5511,POINT (-113.53669 53.45002)
2018,Louise McKinney Park 2014,Trembling Aspen - Populus tremuloides,Tree,0,2018-06-08,53.540707,-113.480095,RIVERDALE,1210,POINT (-113.480095 53.540707)
2018,Fulton Park 2017,Trembling Aspen - Populus tremuloides,Tree,4,2018-07-12,53.547016,-113.43814,RIVER VALLEY GOLD BAR,6620,POINT (-113.43814 53.547016)
2018,Hamptons Lake 2018,Sandbar Willow - Salix exigua,Shrub,15,2018-05-16,53.494762,-113.67519,THE HAMPTONS,4461,POINT (-113.67519 53.494762)
2018,Dunluce Tree Stand,White Spruce - Picea glauca,Tree,224,2018-10-03,53.620697,-113.53151,DUNLUCE,3180,POINT (-113.53151 53.620697)
2018,Louise McKinney Park 2014,Trembling Aspen - Populus tremuloides,Tree,30,2018-09-12,53.540707,-113.480095,RIVERDALE,1210,POINT (-113.480095 53.540707)
2015,Twin Brooks 2015,Lodgepole Pine - Pinus contorta latifolia,Tree,1,2015-06-11,53.442997,-113.54049,TWIN BROOKS,5511,POINT (-113.54049 53.442997)
2015,,Pin Cherry - Prunus pennsylvanica,Shrub,4,2015-07-23,,,,,
2019,Fulton Park 2017,Saskatoon Berry - Amelanchier alnifolia,Shrub,154,2019-10-07,53.547016,-113.43814,RIVER VALLEY GOLD BAR,6620,POINT (-113.43814 53.547016)
2017,Louise McKinney Park 2014,Wolfwillow - Elaeagnus commutata,Shrub,24,2017-09-30,53.540707,-113.480095,RIVERDALE,1210,POINT (-113.480095 53.540707)
2019,Oxford 2018,Sandbar Willow - Salix exigua,Shrub,30,2019-09-07,53.625305,-113.55263,OXFORD,3320,POINT (-113.55263 53.625305)
2013,Victoria Park 2013,Prickly Rose - Rosa acicularis,Shrub,0,2013-08-14,53.53882,-113.52499,RIVER VALLEY VICTORIA,1200,POINT (-113.52499 53.53882)
2018,Louise McKinney Park 2014,Prickly Rose - Rosa acicularis,Shrub,100,2018-09-28,53.540707,-113.480095,RIVERDALE,1210,POINT (-113.480095 53.540707)
2022,Lymburn 2018,Buckbrush - Symphoricarpos occidentalis,Shrub,0,2022-06-29,53.511295,-113.63944,LYMBURN,4270,POINT (-113.63944 53.511295)
2019,Oxford 2018,Sandbar Willow - Salix exigua,Shrub,32,2019-07-27,53.625305,-113.55263,OXFORD,3320,POINT (-113.55263 53.625305)
2013,Louise McKinney Park 2013,Wolfwillow - Elaeagnus commutata,Shrub,75,2013-09-18,53.541447,-113.480385,RIVERDALE,1210,POINT (-113.480385 53.541447)
2022,Lymburn 2018,Lodgepole Pine - Pinus contorta latifolia,Tree,77,2022-06-02,53.511295,-113.63944,LYMBURN,4270,POINT (-113.63944 53.511295)
2018,Dunluce Tree Stand,Wolfwillow - Elaeagnus commutata,Shrub,60,2018-10-02,53.620697,-113.53151,DUNLUCE,3180,POINT (-113.53151 53.620697)
2022,Klarvatten,Red Osier Dogwood - Cornus sericea,Shrub,0,2022-09-15,53.64436,-113.482864,KLARVATTEN,2440,POINT (-113.482864 53.64436)
2017,Hamptons Lake 2017,Red Osier Dogwood - Cornus sericea,Shrub,41,2017-10-05,53.49412,-113.6738,THE HAMPTONS,4461,POINT (-113.6738 53.49412)
2015,,Kinnikinick - Arctostaphylos uva-ursi,Shrub,26,2015-08-19,,,,,
2022,Forest Heights,Pin Cherry - Prunus pennsylvanica,Shrub,74,2022-08-27,53.547657,-113.441635,RIVER VALLEY GOLD BAR,6620,POINT (-113.441635 53.547657)
2019,,White Spruce - Picea glauca,Tree,154,2019-09-09,,,,,
2019,Richfield 2018,Pin Cherry - Prunus pennsylvanica,Shrub,25,2019-05-28,53.46918,-113.46568,RICHFIELD,6600,POINT (-113.46568 53.46918)
2021,Blackmud Creek 2017,Sandbar Willow - Salix exigua,Shrub,11,2021-08-14,53.415615,-113.51594,BLACKMUD CREEK,5453,POINT (-113.51594 53.415615)
2017,Victoria Park 2017,Lodgepole Pine - Pinus contorta latifolia,Tree,77,2017-08-11,53.5386,-113.52369,RIVER VALLEY VICTORIA,1200,POINT (-113.52369 53.5386)
2021,Blackmud Creek 2017,Highbush Cranberry - Viburnum trilobum,Shrub,44,2021-08-12,53.415615,-113.51594,BLACKMUD CREEK,5453,POINT (-113.51594 53.415615)
2018,Hamptons Lake 2018,Highbush Cranberry - Viburnum trilobum,Shrub,60,2018-05-31,53.494762,-113.67519,THE HAMPTONS,4461,POINT (-113.67519 53.494762)
2015,,White Spruce - Picea glauca,Tree,20,2015-08-29,,,,,
2015,Guinevere Park 2015,Prickly Rose - Rosa acicularis,Shrub,21,2015-06-19,53.50076,-113.67183,GLASTONBURY,4720,POINT (-113.67183 53.50076)
2014,Hazeldean 2014,Buffaloberry - Shepherdia canadensis,Shrub,25,2014-08-05,53.500607,-113.46875,MILL CREEK RAVINE SOUTH,6492,POINT (-113.46875 53.500607)
2017,Victoria Park 2017,Pin Cherry - Prunus pennsylvanica,Shrub,30,2017-07-06,53.5386,-113.52369,RIVER VALLEY VICTORIA,1200,POINT (-113.52369 53.5386)
2015,Hazeldean 2015,Saskatoon Berry - Amelanchier alnifolia,Shrub,10,2015-07-08,53.500607,-113.46875,MILL CREEK RAVINE SOUTH,6492,POINT (-113.46875 53.500607)
2022,Sifton Ravine 2018,Red Osier Dogwood - Cornus sericea,Shrub,100,2022-08-13,53.58813,-113.39302,RIVER VALLEY HERMITAGE,2630,POINT (-113.39302 53.58813)
2015,,Snowberry - Symphoricarpos albus,Shrub,45,2015-07-16,,,,,
2018,Pylypow Pond 2017,Pussy Willow - Salix discolor,Shrub,15,2018-10-03,53.497932,-113.399414,PYLYPOW INDUSTRIAL,6590,POINT (-113.399414 53.497932)
2019,Alfred Savage,Highbush Cranberry - Viburnum trilobum,Shrub,45,2019-07-31,53.50105,-113.56058,RIVER VALLEY WHITEMUD,5400,POINT (-113.56058 53.50105)
2019,Forest Heights,Prickly Rose - Rosa acicularis,Shrub,24,2019-05-25,53.547657,-113.441635,RIVER VALLEY GOLD BAR,6620,POINT (-113.441635 53.547657)
2019,Tipaskan,Wolfwillow - Elaeagnus commutata,Shrub,24,2019-10-10,53.461082,-113.4653,TIPASKAN,6750,POINT (-113.4653 53.461082)
2017,Rundle Park 2017,White Spruce - Picea glauca,Tree,83,2017-07-05,53.55726,-113.381996,RIVER VALLEY RUNDLE,2650,POINT (-113.381996 53.55726)
2022,Callaghan Park,Trembling Aspen - Populus tremuloides,Tree,30,2022-10-01,53.40567,-113.52814,CALLAGHAN,5457,POINT (-113.52814 53.40567)
2014,91st and Whitemud,White Spruce - Picea glauca,Tree,5,2014-05-21,53.484093,-113.46437,MCINTYRE INDUSTRIAL,6430,POINT (-113.46437 53.484093)
2022,Blackburn,Lodgepole Pine - Pinus contorta latifolia,Tree,68,2022-08-11,53.428856,-113.50194,BLACKBURNE,5590,POINT (-113.50194 53.428856)
2014,Victoria Park 2014,Trembling Aspen - Populus tremuloides,Tree,93,2014-06-12,53.538548,-113.52249,RIVER VALLEY VICTORIA,1200,POINT (-113.52249 53.538548)
2022,Klarvatten,Pussy Willow - Salix discolor,Shrub,0,2022-09-14,53.64436,-113.482864,KLARVATTEN,2440,POINT (-113.482864 53.64436)
2017,Lauderdale,Balsam Poplar - Populus balsamifera,Tree,10,2017-10-03,53.585773,-113.50926,LAUDERDALE,3260,POINT (-113.50926 53.585773)
2022,Lymburn 2018,Balsam Poplar - Populus balsamifera,Tree,6,2022-05-10,53.511295,-113.63944,LYMBURN,4270,POINT (-113.63944 53.511295)
2019,Lymburn 2018,Saskatoon Berry - Amelanchier alnifolia,Shrub,144,2019-05-29,53.511295,-113.63944,LYMBURN,4270,POINT (-113.63944 53.511295)
2019,Brookside 2018,Western Chokecherry - Prunus virg. melanocarpa,Shrub,10,2019-10-03,53.483593,-113.56844,BROOKSIDE,5090,POINT (-113.56844 53.483593)
2015,Mackinnon Ravine 2015,White Spruce - Picea glauca,Tree,100,2015-08-21,53.53831,-113.55866,RIVER VALLEY CAPITOL HILL,3380,POINT (-113.55866 53.53831)
2017,91 Street 2017,Snowberry - Symphoricarpos albus,Shrub,10,2017-07-20,53.472553,-113.465744,RICHFIELD,6600,POINT (-113.465744 53.472553)
2015,Gold Bar Park 2015,Saskatoon Berry - Amelanchier alnifolia,Shrub,60,2015-05-08,53.555748,-113.40618,RIVER VALLEY GOLD BAR,6620,POINT (-113.40618 53.555748)
2015,Victoria Park 2015,Wolfwillow - Elaeagnus commutata,Shrub,31,2015-08-19,53.5386,-113.52369,RIVER VALLEY VICTORIA,1200,POINT (-113.52369 53.5386)
2017,Hermitage Park 2017,Lodgepole Pine - Pinus contorta latifolia,Tree,20,2017-08-24,53.57681,-113.373215,RIVER VALLEY HERMITAGE,2630,POINT (-113.373215 53.57681)
2019,Oxford 2018,Native Larch - Larix laricina,Tree,25,2019-10-11,53.625305,-113.55263,OXFORD,3320,POINT (-113.55263 53.625305)
2018,Hermitage Park 2017,Lodgepole Pine - Pinus contorta latifolia,Tree,8,2018-09-29,53.57681,-113.373215,RIVER VALLEY HERMITAGE,2630,POINT (-113.373215 53.57681)
2019,Oxford 2018,Bebb's Willow - Salix bebbiana,Shrub,81,2019-05-25,53.625305,-113.55263,OXFORD,3320,POINT (-113.55263 53.625305)
2017,91 Street 2017,Prickly Rose - Rosa acicularis,Shrub,45,2017-06-08,53.472553,-113.465744,RICHFIELD,6600,POINT (-113.465744 53.472553)
2014,Louise McKinney Park 2014,Saskatoon Berry - Amelanchier alnifolia,Shrub,20,2014-09-16,53.540707,-113.480095,RIVERDALE,1210,POINT (-113.480095 53.540707)
2019,Brookside 2018,Lodgepole Pine - Pinus contorta latifolia,Tree,24,2019-05-23,53.483593,-113.56844,BROOKSIDE,5090,POINT (-113.56844 53.483593)
2018,Lymburn 2018,Wolfwillow - Elaeagnus commutata,Shrub,98,2018-05-30,53.511295,-113.63944,LYMBURN,4270,POINT (-113.63944 53.511295)
2015,,Pin Cherry - Prunus pennsylvanica,Shrub,30,2015-05-20,,,,,
2015,,Trembling Aspen - Populus tremuloides,Tree,21,2015-06-12,,,,,
2017,Twin Brooks 2017,Prickly Rose - Rosa acicularis,Shrub,19,2017-06-15,53.44044,-113.540054,TWIN BROOKS,5511,POINT (-113.540054 53.44044)
2022,Forest Heights,Western Chokecherry - Prunus virg. melanocarpa,Shrub,30,2022-09-22,53.547657,-113.441635,RIVER VALLEY GOLD BAR,6620,POINT (-113.441635 53.547657)
2015,,Red Osier Dogwood - Cornus sericea,Shrub,155,2015-09-19,,,,,
2022,Klarvatten,Bebb's Willow - Salix bebbiana,Shrub,48,2022-09-15,53.64436,-113.482864,KLARVATTEN,2440,POINT (-113.482864 53.64436)
2018,Hermitage Park 2017,Prickly Rose - Rosa acicularis,Shrub,15,2018-07-05,53.57681,-113.373215,RIVER VALLEY HERMITAGE,2630,POINT (-113.373215 53.57681)
2018,Whitemud 2013,White Spruce - Picea glauca,Tree,98,2018-07-03,53.481937,-113.465294,TWEDDLE PLACE,6760,POINT (-113.465294 53.481937)
2018,Oxford 2018,Red Elderberry - Sambucus racemosa,Shrub,18,2018-06-23,53.625305,-113.55263,OXFORD,3320,POINT (-113.55263 53.625305)
2019,Providence Renewal Centre 2014,Beaked Hazelnut - Corylus cornuta,Shrub,10,2019-06-15,53.46358,-113.53328,SWEET GRASS,5490,POINT (-113.53328 53.46358)
2021,Westmount 2018,Wolfwillow - Elaeagnus commutata,Shrub,15,2021-07-29,53.557262,-113.53088,QUEEN MARY PARK,1180,POINT (-113.53088 53.557262)
2019,Forest Heights,Western Chokecherry - Prunus virg. melanocarpa,Shrub,30,2019-06-15,53.547657,-113.441635,RIVER VALLEY GOLD BAR,6620,POINT (-113.441635 53.547657)
2018,Westmount 2018,White Spruce - Picea glauca,Tree,10,2018-10-19,53.557262,-113.53088,QUEEN MARY PARK,1180,POINT (-113.53088 53.557262)
2021,Lymburn 2021,Currant - Ribes sp.,Shrub,12,2021-07-08,53.511528,-113.63659,LYMBURN,4270,POINT (-113.63659 53.511528)
2015,,Red Osier Dogwood - Cornus sericea,Shrub,25,2015-07-18,,,,,
2014,Government House Park 2014,White Spruce - Picea glauca,Tree,10,2014-07-10,53.540367,-113.54321,RIVER VALLEY GLENORA,3381,POINT (-113.54321 53.540367)
2013,Victoria Park 2013,Highbush Cranberry - Viburnum trilobum,Shrub,90,2013-08-14,53.53882,-113.52499,RIVER VALLEY VICTORIA,1200,POINT (-113.52499 53.53882)
2013,Louise McKinney Park 2013,Red Osier Dogwood - Cornus sericea,Shrub,67,2013-08-31,53.541447,-113.480385,RIVERDALE,1210,POINT (-113.480385 53.541447)
2019,Oxford 2018,Sandbar Willow - Salix exigua,Shrub,96,2019-10-11,53.625305,-113.55263,OXFORD,3320,POINT (-113.55263 53.625305)
2014,,Prickly Rose - Rosa acicularis,Shrub,15,2014-06-24,,,,,
2021,Sifton Ravine 2021,Snowberry - Symphoricarpos albus,Shrub,15,2021-08-31,53.591694,-113.40929,RIVER VALLEY HERMITAGE,2630,POINT (-113.40929 53.591694)
2021,Jackie Parker Park 2021,Trembling Aspen - Populus tremuloides,Tree,30,2021-09-24,53.483486,-113.41887,MILL WOODS GOLF COURSE,6500,POINT (-113.41887 53.483486)
2019,Brookside 2018,Saskatoon Berry - Amelanchier alnifolia,Shrub,77,2019-07-11,53.483593,-113.56844,BROOKSIDE,5090,POINT (-113.56844 53.483593)
2019,Alfred Savage,Highbush Cranberry - Viburnum trilobum,Shrub,11,2019-08-21,53.50105,-113.56058,RIVER VALLEY WHITEMUD,5400,POINT (-113.56058 53.50105)
2012,Roper Pond,Wolfwillow - Elaeagnus commutata,Shrub,39,2012-06-16,53.49868,-113.43738,ROPER INDUSTRIAL,6640,POINT (-113.43738 53.49868)
2018,Hermitage Park 2017,Prickly Rose - Rosa acicularis,Shrub,6,2018-09-26,53.57681,-113.373215,RIVER VALLEY HERMITAGE,2630,POINT (-113.373215 53.57681)
2019,Oxford 2018,Native Larch - Larix laricina,Tree,50,2019-08-29,53.625305,-113.55263,OXFORD,3320,POINT (-113.55263 53.625305)
2014,Government House Park 2014,Spirea,Shrub,17,2014-05-12,53.540367,-113.54321,RIVER VALLEY GLENORA,3381,POINT (-113.54321 53.540367)
2019,Oxford 2018,Bebb's Willow - Salix bebbiana,Shrub,30,2019-07-27,53.625305,-113.55263,OXFORD,3320,POINT (-113.55263 53.625305)
2014,Victoria Park 2014,Trembling Aspen - Populus tremuloides,Tree,60,2014-06-18,53.538548,-113.52249,RIVER VALLEY VICTORIA,1200,POINT (-113.52249 53.538548)
2019,Westmount 2018,Saskatoon Berry - Amelanchier alnifolia,Shrub,37,2019-07-19,53.557262,-113.53088,QUEEN MARY PARK,1180,POINT (-113.53088 53.557262)
2021,Sifton Ravine 2021,Wolfwillow - Elaeagnus commutata,Shrub,30,2021-08-14,53.591694,-113.40929,RIVER VALLEY HERMITAGE,2630,POINT (-113.40929 53.591694)
2014,Wildwood Crescent 2014,Prickly Rose - Rosa acicularis,Shrub,25,2014-07-18,53.46571,-113.37227,WILD ROSE,6790,POINT (-113.37227 53.46571)
2018,Hermitage Park 2017,White Spruce - Picea glauca,Tree,26,2018-09-29,53.57681,-113.373215,RIVER VALLEY HERMITAGE,2630,POINT (-113.373215 53.57681)
2014,Victoria Park 2014,Wolfwillow - Elaeagnus commutata,Shrub,90,2014-05-13,53.538548,-113.52249,RIVER VALLEY VICTORIA,1200,POINT (-113.52249 53.538548)
2022,Sifton Ravine 2018,Saskatoon Berry - Amelanchier alnifolia,Shrub,10,2022-07-14,53.58813,-113.39302,RIVER VALLEY HERMITAGE,2630,POINT (-113.39302 53.58813)
2014,Jackie Parker 2014,Trembling Aspen - Populus tremuloides,Tree,120,2014-06-26,53.486126,-113.42432,MILL WOODS GOLF COURSE,6500,POINT (-113.42432 53.486126)
